lat,lng,year,map_name,address_1,address_2,address_3,address_4,protocols,district_id,division_id,internal_id,archive_name,district_name,election_type,internal_name,abroad_district_id,total_registered_voters,total_registered_voters_men,total_registered_voters_women,participated,participated_confidence,invalid_ballots,invalid_ballots_confidence,"Party || 2 || „ბაქრაძე, უგულავა, ბოკერია - ევროპული საქართველო - მოძრაობა თავისუფლებისთვის“|""Bakradze, Ugulava, Bokeria - European Georgia - Movement for Liberty""","Party || 41 || ქართული ოცნება - დემოკრატიული საქართველო|""Georgian Dream – Democratic Georgia""","Party || 5 || საარჩევნო ბლოკი „ერთიანი ნაციონალური მოძრაობა-გაერთიანებული ოპოზიცია „ძალა ერთობაშია” |Election Bloc - United National Movement - United Opposition ""Strength is in Unity""","Party || 56 || „ლელო - მამუკა ხაზარაძე“|""Lelo - Mamuka Khazaradze""","Party || 8 || „დავით თარხან-მოურავი, ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი”|""Davit Tarkhan-Mouravi, Irma Inashvili - ""Alliance of Patriots of Georgia""",Party || 999 || Other
41.7024691,44.88527679999993,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,,#178-ე საჯარო სკოლა,"ვარკეთილი 3, II მ/რ",,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/7931a53d-860e-4370-acf4-05da71135f40,5,05.06.17,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#5 მაჟორიტარული ოლქი,majoritarian,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,1388,608,780,758,3,28,3,,287,343,30,24,46
41.61728026863661,41.698313940974444,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,ახალშენის,N1 სკოლის შენობა,"ახალშენი მე–10ქ.ჩ3,N2",,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/0e650e70-60c9-48da-a6eb-86a615608281,30,30.83.20,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#30 მაჟორიტარული ოლქი,majoritarian,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,1014,492,522,527,3,32,2,8,192,217,32,24,22
42.28981843171456,43.51035395581971,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,ცხამის საარჩევნო უბანი,ცხამის საჯარო სკოლის შენობა,სოფ. ცხამი,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/00ca9678-2ab0-486f-98f7-f75d51e1bc4e,20,20.50.07,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#20 მაჟორიტარული ოლქი,majoritarian,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,480,254,226,354,3,5,3,1,340,1,1,5,1
41.35143571574001,44.36353423975909,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,მაშავერას N32,კლუბის შენობა,სოფ.მაშავერა,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/4cf8d2b8-914e-4f3f-8cd7-90f69f1d986e,14,14.24.32,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#14 მაჟორიტარული ოლქი,majoritarian,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,704,374,330,581,2,17,3,,451,105,1,0,6
42.28048062577264,42.71307709325413,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,უქიმერიონის,26-ე საჯარო სკოლის შენობა,ლესელიძის 4,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/bc93d4e3-5856-46b4-868f-6f6a4a37a998,23,23.59.33,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#23 მაჟორიტარული ოლქი,majoritarian,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,905,420,485,502,2,16,2,21,240,162,13,7,43
41.57455326522785,46.00379098465578,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,,ტერიტორიული ორგანო,"სოფ. ტიბაანი, პირველი ქუჩა #1",,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/f7d60e2d-8eeb-4842-9277-f1ff30a57b06,9,09.13.17,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#9 მაჟორიტარული ოლქი,majoritarian,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,903,420,483,565,2,19,3,48,307,140,21,16,14
42.22961317290135,43.030680030046156,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,N49.05 ქვ. ალისუბნის საარჩევნო უბანი,N1 საჯარო სკოლა,სოფ.ქვედა ალისუბანი,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/9fe35406-9508-4692-9117-4630d146b823,21,21.49.05,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#21 მაჟორიტარული ოლქი,majoritarian,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,1049,536,513,762,3,25,3,298,286,78,45,10,18
41.74380463592814,41.73879516438751,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,ბუკნარის ს/უ,ბუკნარის საბაზო სკოლა,სოფ. ბუკნარი,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/51d9c90c-76f2-4f2b-b821-670421c4808a,29,29.81.13,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#29 მაჟორიტარული ოლქი,majoritarian,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,992,490,502,607,3,18,3,10,289,232,16,13,29
41.75373496292789,41.81435816137696,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,დაგვას ს/უ,საჯარო სკოლის შენობა,სოფ.დაგვა,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/8fb16e3f-ac62-4172-9c45-c15139c11ded,29,29.81.61,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#29 მაჟორიტარული ოლქი,majoritarian,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,988,532,456,543,3,20,2,7,221,241,3,25,26
41.6864087,44.88696879999998,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,,#108-ე საჯარო სკოლა,შუამთის ქუჩა 20,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/1e8334bc-86b6-4455-82ea-15e4b590acc0,5,05.06.52,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#5 მაჟორიტარული ოლქი,majoritarian,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,1368,577,791,651,3,31,3,,287,235,42,29,34
